era,period,common_name,Genus,Link,pic_url,bonus_material
Mesozoic,Cretaceous,Quetzalcoatlus,Quetzalcoatlus,https://www.newdinosaurs.com/quetzalcoatlus/,https://upload.wikimedia.org/wikipedia/commons/6/60/Gfp-quetzalcaotlus.jpg,
Mesozoic,Cretaceous,Triceratops,Triceratops,https://youtu.be/CGvE1M95rtw,https://upload.wikimedia.org/wikipedia/commons/e/ec/LA-Triceratops_mount-2.jpg,
Mesozoic,Cretaceous,Tusoteuthis,Tusoteuthis,http://oceansofkansas.com/Tusoteuthis.html,https://upload.wikimedia.org/wikipedia/commons/c/cd/TusoteuthisDB2.jpg,
Mesozoic,Cretaceous,Tyrannosaurus,Tyrannosaurus,https://youtu.be/772GiBXnWoQ,https://upload.wikimedia.org/wikipedia/commons/9/94/Tyrannosaurus_Rex_Holotype.jpg,
Mesozoic,Cretaceous,Mosasaurus,Mosasaurus,http://dinosaurpictures.org/Mosasaurus-pictures,https://upload.wikimedia.org/wikipedia/commons/a/a9/Mosasaurus_hoffmannii_-_skeleton.jpg,
Cenozoic,Paleogene,False Saber tooth cat,Nimravus ,https://en.wikipedia.org/wiki/Nimravus,https://upload.wikimedia.org/wikipedia/commons/4/4b/Nimravus_gomphodus.jpg,
Cenozoic,Paleogene,Spear tooth,Dorudon ,https://www.newdinosaurs.com/dorudon/,https://upload.wikimedia.org/wikipedia/commons/1/18/Dorudon_atrox_Senckenberg.jpg,
Cenozoic,Paleogene,Mosquito,Aedes,https://youtu.be/rD8SmacBUcU,https://upload.wikimedia.org/wikipedia/commons/3/3e/Aedes_aegypti_feeding.jpg,
Cenozoic,Paleogene,Terror bird,Titanis,https://www.floridamuseum.ufl.edu/florida-vertebrate-fossils/species/titanis-walleri/,https://upload.wikimedia.org/wikipedia/commons/d/dd/Phorusrhacid_skeleton.jpg,
Cenozoic,Paleogene,Walking whale,Ambulocetus,https://www.amnh.org/explore/news-blogs/news-posts/walking-whale-ambulocetus,https://upload.wikimedia.org/wikipedia/commons/8/85/Ambulocetus_natans.jpg,
